subroot,occ,subid_long,subid_short,subnumber,Male,Age_scan,R1_num_cor,R1_num_sem,R1_num_per,R1_num_dis,R1_num_resp,R1_num_omi,R1_tot_num_q,R1_percent_acc,R1_num_err_incomi,R1_percent_err_incomi,R1_num_err_excomi,R1_percent_err_excomi,R1_percent_err_sem_incomi,R1_percent_err_per_incomi,R1_percent_err_dis_incomi,R1_percent_err_discorr_incomi,R1_percent_err_omi_incomi,R1_percent_err_sem_excomi,R1_percent_err_per_excomi,R1_percent_err_dis_excomi,R1_percent_err_discorr_excomi,R1_percent_resp_cor,R1_percent_resp_sem,R1_percent_resp_per,R1_percent_resp_dis,R1_percent_resp_discorr,R1_meanRT_cor,R1_meanRT_sem,R1_meanRT_per,R1_meanRT_dis,R1_meanRTcorr_cor,R1_meanRTcorr_sem,R1_meanRTcorr_per,R1_meanRTcorr_dis,R2_num_cor,R2_num_sem,R2_num_per,R2_num_dis,R2_num_resp,R2_num_omi,R2_tot_num_q,R2_percent_acc,R2_num_err_incomi,R2_percent_err_incomi,R2_num_err_excomi,R2_percent_err_excomi,R2_percent_err_sem_incomi,R2_percent_err_per_incomi,R2_percent_err_dis_incomi,R2_percent_err_discorr_incomi,R2_percent_err_omi_incomi,R2_percent_err_sem_excomi,R2_percent_err_per_excomi,R2_percent_err_dis_excomi,R2_percent_err_discorr_excomi,R2_percent_resp_cor,R2_percent_resp_sem,R2_percent_resp_per,R2_percent_resp_dis,R2_percent_resp_discorr,R2_meanRT_cor,R2_meanRT_sem,R2_meanRT_per,R2_meanRT_dis,R2_meanRTcorr_cor,R2_meanRTcorr_sem,R2_meanRTcorr_per,R2_meanRTcorr_dis,R2_percent_sem,R2_percent_per,R2_percent_dis,R2_Correct_dividedby_Semantic,R2_Semantic_dividedby_per_dis
n164,1,nora_n164t1,n164_t1,164,1,11.67,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,3.38,,,,3.25,,,,33,4,1,1,39,1,40,83,7,18,6,15,57,14,14,,14,67,17,17,,85,10,3,3,,4.54,5.11,5.75,4.77,4.35,5.11,,,10,2.5,2.5,8.25,2
n165,1,nora_n165t1,n165_t1,165,1,6.82,26,,4,3,33,2,35,74,9,26,7,21,,44,33,17,22,,57,43,21,79,,12,9,5,5.14,,6.35,5.43,5.14,,6.35,5.43,21,10,3,4,38,1,39,54,18,46,17,45,56,17,22,,6,59,18,24,,55,26,8,11,,5.49,4.67,6.26,5.7,5.64,4.39,6.26,5.7,25.64103,7.692308,10.25641,2.1,1.428571429
n170,1,nora_n170t1,n170_t1,170,1,10.24,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,4.08,,,,3.89,,,,36,2,0,1,39,1,40,90,4,10,3,8,50,0,25,,25,67,0,33,,92,5,0,3,,4.99,6.21,,7.36,4.71,6.21,,,5,0,2.5,18,2
n171,1,nora_n171t1,n171_t1,171,1,6.34,27,,2,6,35,5,40,68,13,33,8,23,,15,46,23,38,,25,75,38,77,,6,17,9,6.18,,4.94,6.35,6.01,,4.94,6.35,19,9,4,2,34,6,40,48,21,53,15,44,43,19,10,,29,60,27,13,,56,26,12,6,,7.14,7.82,4.79,8.77,7.14,7.82,4.79,8.77,22.5,10,5,2.111111111,1.5
n173,1,nora_n173t1,n173_t1,173,0,6.16,8,,2,1,11,0,11,73,3,27,3,27,,67,33,17,0,,67,33,17,73,,18,9,5,4.8,,3.78,5.32,4.8,,3.78,,6,3,3,1,13,2,15,40,9,60,7,54,33,33,11,,22,43,43,14,,46,23,23,8,,5.07,4.28,3.94,6.95,5.07,4.28,3.94,,20,20,6.666667,2,0.75
n174,1,nora_n174t1,n174_t1,174,1,6.93,34,,4,0,38,2,40,85,6,15,4,11,,67,0,0,33,,100,0,0,89,,11,0,0,4.77,,3.43,,4.3,,3.43,,32,4,2,0,38,2,40,80,8,20,6,16,50,25,0,,25,67,33,0,,84,11,5,0,,6.13,4.63,2.75,,6.13,4.63,2.75,,10,5,0,8,4
n175,1,nora_n175t1,n175_t1,175,0,8.51,36,,2,2,40,0,40,90,4,10,4,10,,50,50,25,0,,50,50,25,90,,5,5,3,3.08,,8.1,2.55,3.02,,8.1,2.55,33,1,1,3,38,2,40,83,7,18,5,13,14,14,43,,29,20,20,60,,87,3,3,8,,4.64,6.59,3.36,5.25,4.3,,,5.25,2.5,2.5,7.5,33,0.25
n176,1,nora_n176t1,n176_t1,176,0,10.9,34,,1,3,38,2,40,85,6,15,4,11,,17,50,25,33,,25,75,38,89,,3,8,4,4.2,,4.17,3.99,3.99,,,3.99,29,5,1,0,35,5,40,73,11,28,6,17,45,9,0,,45,83,17,0,,83,14,3,0,,5.07,6.34,5.02,,4.81,6.34,,,12.5,2.5,0,5.8,5
n178,1,nora_n178t1,n178_t1,178,1,6.87,18,,5,7,30,0,30,60,12,40,12,40,,42,58,29,0,,42,58,29,60,,17,23,12,3.75,,4.49,4.34,3.63,,4.49,4.34,9,11,3,6,29,1,30,30,21,70,20,69,52,14,29,,5,55,15,30,,31,38,10,21,,3.91,3.95,5.01,3.78,3.91,3.95,5.01,3.78,36.66667,10,20,0.818181818,1.222222222
n180,1,nora_n180t1,n180_t1,180,1,6.87,27,,3,8,38,2,40,68,13,33,11,29,,23,62,31,15,,27,73,36,71,,8,21,11,4.93,,7.06,4.96,4.73,,7.06,4.96,22,9,3,4,38,2,40,55,18,45,16,42,50,17,22,,11,56,19,25,,58,24,8,11,,5.49,5.05,5.18,5.11,5.49,5.05,5.18,5.11,22.5,7.5,10,2.444444444,1.285714286
n181,1,nora_n181t1,n181_t1,181,1,15.33,36,,1,1,38,2,40,90,4,10,2,5,,25,25,13,50,,50,50,25,95,,3,3,1,3.08,,5.57,5.86,2.74,,,,35,2,0,0,37,3,40,88,5,13,2,5,40,0,0,,60,100,0,0,,95,5,0,0,,4.14,4.66,,,4.04,4.66,,,5,0,0,17.5,2
n182,1,nora_n182t1,n182_t1,182,1,16.87,39,,0,0,39,1,40,98,1,3,0,0,,0,0,0,100,,,,,100,,0,0,0,2.94,,,,2.77,,,,39,1,0,0,40,0,40,98,1,3,1,3,100,0,0,,0,100,0,0,,98,3,0,0,,3.88,6.16,,,3.54,,,,2.5,0,0,39,1
n183,1,nora_n183t1,n183_t1,183,0,12.46,38,,1,0,39,1,40,95,2,5,1,3,,50,0,0,50,,100,0,0,97,,3,0,0,2.24,,4.35,,2.15,,,,36,1,2,0,39,1,40,90,4,10,3,8,25,50,0,,25,33,67,0,,92,3,5,0,,3.49,0.14,6.06,,3.31,,6.06,,2.5,5,0,36,1
